sample_index,selected_method,selected_score,target_cum,target_core,target_ramp,target_duration,score_DurationAware_RiskFirst_TCN_Empirical,score_RiskFirst_TCN_Empirical
0,DurationAware_RiskFirst_TCN_Empirical,0.1736614722829331,9.775089263916016,2.410369873046875,3.9756717681884766,8.0,0.1736614722829331,0.2002902567082855
1,DurationAware_RiskFirst_TCN_Empirical,0.006917651048693707,27.163557052612305,12.789454460144043,4.5038957595825195,11.0,0.006917651048693707,0.2763805667782502
2,DurationAware_RiskFirst_TCN_Empirical,0.2733739998168412,21.93396759033203,8.937949180603027,4.589417934417725,9.5,0.2733739998168412,0.5185175168314872
3,DurationAware_RiskFirst_TCN_Empirical,0.1282273448970996,21.93396759033203,8.937949180603027,4.589417934417725,9.5,0.1282273448970996,0.29981359137690744
4,DurationAware_RiskFirst_TCN_Empirical,0.4084521309459196,21.93396759033203,8.937949180603027,4.589417934417725,9.5,0.4084521309459196,0.5187720147104271
5,DurationAware_RiskFirst_TCN_Empirical,0.19723405821653311,21.93396759033203,8.937949180603027,4.589417934417725,9.5,0.19723405821653311,0.39503067932613867
6,DurationAware_RiskFirst_TCN_Empirical,0.1728127510059,21.93396759033203,8.937949180603027,4.589417934417725,9.5,0.1728127510059,0.37542457982430694
7,DurationAware_RiskFirst_TCN_Empirical,0.2677848390973401,21.93396759033203,8.937949180603027,4.589417934417725,9.5,0.2677848390973401,0.4859157478191823
8,DurationAware_RiskFirst_TCN_Empirical,0.44239241485613284,28.767155170440674,13.343979835510254,4.678141951560974,11.1875,0.44239241485613284,1.0650790832802752
9,DurationAware_RiskFirst_TCN_Empirical,0.09128925512378508,27.163557052612305,12.789454460144043,4.5038957595825195,11.0,0.09128925512378508,0.267763930726194
10,DurationAware_RiskFirst_TCN_Empirical,0.12715834566356846,27.163557052612305,12.789454460144043,4.5038957595825195,11.0,0.12715834566356846,0.32017481403863557
11,DurationAware_RiskFirst_TCN_Empirical,0.34386354356477855,21.93396759033203,8.937949180603027,4.589417934417725,9.5,0.34386354356477855,0.5397836580387555
12,RiskFirst_TCN_Empirical,0.2677916610965105,27.163557052612305,12.789454460144043,4.5038957595825195,11.0,0.2813496616530683,0.2677916610965105
13,DurationAware_RiskFirst_TCN_Empirical,0.26508595988326467,54.00166702270508,25.422154545783997,7.032369449734688,17.21875,0.26508595988326467,0.323959007355692
14,DurationAware_RiskFirst_TCN_Empirical,0.15189946992330283,3.018857955932617,0.03520560264587402,2.8809893131256104,4.5,0.15189946992330283,0.15596756882571838
15,RiskFirst_TCN_Empirical,0.1489220355820399,3.018857955932617,0.03520560264587402,2.8809893131256104,4.5,0.15369311534566868,0.1489220355820399
16,DurationAware_RiskFirst_TCN_Empirical,0.42134061521394217,8.403645277023315,0.7977311611175537,3.599659502506256,7.125,0.42134061521394217,0.45329676730832824
17,DurationAware_RiskFirst_TCN_Empirical,0.9158074104591416,16.021092236042012,6.265504667162895,4.953633111715315,15.0,0.9158074104591416,1.0630144185219454
18,DurationAware_RiskFirst_TCN_Empirical,0.6794621952089008,12.364845424890518,3.256978750228882,4.096752405166626,12.0,0.6794621952089008,0.7747984555678414
19,DurationAware_RiskFirst_TCN_Empirical,0.335581335779194,6.850719726085661,0.40889650583267195,3.3420043110847466,7.0,0.335581335779194,0.33694089254311016
20,RiskFirst_TCN_Empirical,0.8921297921793544,12.37794440984726,3.266519069671631,4.107894992828369,12.0,0.8933340387077262,0.8921297921793544
21,RiskFirst_TCN_Empirical,0.17277677775894612,3.427283030748365,0.07348406910896298,2.952262577414512,5.0,0.18183417587024647,0.17277677775894612
22,RiskFirst_TCN_Empirical,1.1855749052927556,30.849614530801688,10.35706418901681,6.278020361065862,18.0,1.5044529083347393,1.1855749052927556
23,DurationAware_RiskFirst_TCN_Empirical,0.10470514754297086,3.018857955932617,0.03520560264587402,2.8809893131256104,4.5,0.10470514754297086,0.14361397472280213
