sample_index,selected_method,selected_score
0,DurationAware_RiskFirst_TCN_Empirical,0.5998612144600686
1,DurationAware_RiskFirst_TCN_Empirical,0.9218407443265667
2,DurationAware_RiskFirst_TCN_Empirical,1.126493644161911
3,DurationAware_RiskFirst_TCN_Empirical,1.6125766973738238
4,DurationAware_RiskFirst_TCN_Empirical,0.9681277970353591
5,extreme_conditioned_gaussian_copula,0.95522342238712
6,DurationAware_RiskFirst_TCN_Empirical,1.4476783687552073
7,valprotected_x_base_copula,0.9159825408058713
8,extreme_conditioned_gaussian_copula,1.5094539855888292
9,DurationAware_RiskFirst_TCN_Empirical,0.7167788956753098
10,DurationAware_RiskFirst_TCN_Empirical,0.6144158745046036
11,DurationAware_RiskFirst_TCN_Empirical,1.22577097631262
12,DurationAware_RiskFirst_TCN_Empirical,4.099686392631191
13,DurationAware_RiskFirst_TCN_Empirical,0.5179317447143232
14,DurationAware_RiskFirst_TCN_Empirical,0.15613308861938208
15,DurationAware_RiskFirst_TCN_Empirical,0.9156177493491549
16,valprotected_x_base_copula,0.6714311880671695
17,DurationAware_RiskFirst_TCN_Empirical,0.9832475378992372
18,DurationAware_RiskFirst_TCN_Empirical,0.3979050891791397
19,DurationAware_RiskFirst_TCN_Empirical,0.37966717111956905
20,RiskFirst_TCN_Empirical,0.48696201982072757
21,DurationAware_RiskFirst_TCN_Empirical,0.40666036659843463
22,RiskFirst_TCN_Empirical,0.4809791575352875
23,DurationAware_RiskFirst_TCN_Empirical,0.29448329409095586
